#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_175810.1	39S ribosomal protein L40, mitochondrial	YML28, 54S ribosomal protein L28, mitochondrial
Smp_175840.1	Eukaryotic translation initiation factor 2A	EIF-2A, eukaryotic translation initiation factor 2A
Smp_175840.2	Eukaryotic translation initiation factor 2A	EIF-2A, eukaryotic translation initiation factor 2A
Smp_175860.1	Centrosomal protein of 295 kDa	Uncharacterized protein
Smp_175880.1	Vacuolar protein sorting-associated protein 13B	DLP-1
Smp_175900.1	Synaptotagmin-1	Synaptotagmin-1
Smp_175900.2	Synaptotagmin-1	Synaptotagmin-1
Smp_175910.1	UAP56-interacting factor	RNA and export factor binding protein 2
Smp_175910.2	UAP56-interacting factor	RNA and export factor binding protein 2
Smp_175920.1	Hypothetical protein	Fusion glycoprotein F0
Smp_175930.1	ELAV-like protein 1	Paraneoplastic encephalomyelitis antigen HUD
Smp_175950.1	tRNA (cytosine(34)-C(5))-methyltransferase	Hypothetical protein YEBU
Smp_175980.1	Sodium/hydrogen exchanger 9B2	NAPA, Na(+)/H(+) antiporter
Smp_176000.1	Abnormal spindle-like microcephaly-associated protein homolog	Alpha-actinin 3
Smp_176010.1	Cytoskeleton-associated protein 5-A	ZYG-9
Smp_176020.1	MEG 11	Vacuolar calcium ION transporter
Smp_176040.1	Folliculin	Folliculin
Smp_176050.1	Ras-related protein RABH1b	Oncogene C-MEL, RAS-related protein RAB-8A
Smp_176050.2	Ras-related protein RABH1b	Oncogene C-MEL, RAS-related protein RAB-8A
Smp_176070.1	RalA-binding protein 1	RAla-binding protein 1
Smp_176080.1	Cell division cycle protein 123	Surfactant protein C brichos domain
Smp_176090.1	F-box/LRR-repeat protein 4	S-phase kinase-associated protein 1
Smp_176090.2	F-box/LRR-repeat protein 4	S-phase kinase-associated protein 1
Smp_176100.1	Zinc transporter 2	Cation efflux family protein
Smp_176100.2	Zinc transporter 2	Cation efflux family protein
Smp_176110.1	Leucine-rich repeat-containing protein 14	Nacht, LRR and PYD domains-containing protein 1
Smp_176140.1	tRNA-specific 2-thiouridylase MnmA	Preprotein translocase subunit SECE
Smp_176150.1	Uncharacterized protein ORF9	Quinol-fumarate reductase diheme cytochrome B subunit C
Smp_176160.1	venom allergen (val) protein	Venom allergen-like (Val) 4 protein
Smp_176170.1	venom allergen (val) protein	Venom allergen-like (Val) 4 protein
Smp_176180.1	venom allergen-like (VAL) 9 protein	Venom allergen-like (Val) 4 protein
Smp_176200.1	superoxide dismutase [Cu-Zn]	Superoxide dismutase [CU-ZN]
Smp_176230.1	Eukaryotic translation initiation factor 3 subunit E	COP9 signalosome complex subunit 1
Smp_176260.1	Geminin	Geminin
Smp_176270.1	Syntaxin-5	Syntaxin-1A
Smp_176290.1	Tyrosine--tRNA ligase, mitochondrial	Tyrosyl-tRNA synthetase, mitochondrial
Smp_176300.1	Dynein heavy chain 2, axonemal	Dynein heavy chain, cytoplasmic
Smp_176310.1	Neuronal acetylcholine receptor subunit alpha-2	Acetylcholine receptor protein, alpha chain
Smp_176340.1	Nuclear transcription factor Y subunit gamma	HAPE
Smp_176340.2	Nuclear transcription factor Y subunit gamma	HAPE
Smp_176350.1	Contactin	Titin
Smp_176370.1	TBC1 domain family member 23	TBC1 domain family member 20
Smp_176380.1	Hypothetical protein	Nitroreductase
Smp_176380.2	Hypothetical protein	Nitroreductase
Smp_176390.1	Protocadherin alpha-4	EP-cadherin, C-cadherin
Smp_176410.1	F-box/LRR-repeat protein 20	S-phase kinase-associated protein 2
Smp_176410.2	F-box/LRR-repeat protein 20	S-phase kinase-associated protein 2
Smp_176420.1	Hypothetical protein	ARC/mediator, positive cofactor 2 glutamine/Q- rich-associated protein
Smp_176420.2	Hypothetical protein	ARC/mediator, positive cofactor 2 glutamine/Q- rich-associated protein
Smp_176420.3	Hypothetical protein	ARC/mediator, positive cofactor 2 glutamine/Q- rich-associated protein
Smp_176420.4	Hypothetical protein	ARC/mediator, positive cofactor 2 glutamine/Q- rich-associated protein
Smp_176430.1	Pleckstrin homology domain-containing family G member 1	Triple functional domain protein
Smp_176440.1	N-terminal kinase-like protein	Cytoplasmic export protein 1
Smp_176460.1	Peroxidase 62	SurviVal of motor neuron-related-splicing factor
Smp_176490.1	Transmembrane protease serine 2	Na-SLP-1, saposin-like protein
Smp_176490.2	Hypothetical protein	UPF0311 protein CA_C3321
Smp_176490.3	Transmembrane protease serine 2	Na-SLP-1, saposin-like protein
Smp_176540.1	Protocadherin-18	EP-cadherin, C-cadherin
Smp_176570.1	Centrosome-associated protein CEP250	Aptotoxin VII
Smp_176580.1	Mitogen-activated protein kinase kinase kinase 9	Mitogen-activated protein kinase kinase kinase 9
Smp_176580.2	Mitogen-activated protein kinase kinase kinase 9	Carboxyl-terminal SRC kinase
Smp_176600.1	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform	PP2A, B subunit, serine/threonine-protein phosphatase 2A 56 kDa RE subunit gamma isoform
Smp_176620.1	Cyclin-dependent kinase 11B	CAK, cell division protein kinase 7
Smp_176630.1	Selenocysteine-specific elongation factor	Translation elongation factor SELB
Smp_176630.2	Selenocysteine-specific elongation factor	Translation elongation factor SELB
Smp_176640.1	Probable E3 ubiquitin-protein ligase LUL3	MDM4 protein
Smp_176650.1	Hypothetical protein	Lipovitellin (LV-2)
Smp_176700.1	U9-hexatoxin-Mg1a	Protease NS2-3
Smp_176710.1	Nuclear factor interleukin-3-regulated protein	CAAT/enhancer binding protein beta
Smp_176720.1	Lipoma HMGIC fusion partner homolog	Claudin-15
Smp_176740.1	Hypothetical protein	26S proteasome complex subunit DSS1
Smp_176750.1	AP2-associated protein kinase 1	Cyclin G-associated kinase
Smp_176760.1	Metaxin-3	Glutathione S-transferase 1
Smp_176760.2	Metaxin-3	Glutathione S-transferase 1
Smp_176780.1	Hypothetical protein	Phage-related conserved hypothetical protein
Smp_176780.2	Hypothetical protein	Phage-related conserved hypothetical protein
Smp_176810.1	ELAV-like protein 2	U4/U6 snRNA-associated splicing factor PRP24
Smp_176820.1	Adhesion G protein-coupled receptor F5	Corticotropin-releasing factor receptor 1, T4-Lys chimeric construct
Smp_176820.2	Probable G-protein coupled receptor Mth-like 4	Corticotropin-releasing factor receptor 1, T4-Lys chimeric construct
Smp_176840.1	U4/U6.U5 tri-snRNP-associated protein 1	66 kDa U4/U6.U5 small nuclear ribonucleoprotein C
Smp_176850.1	Armadillo repeat-containing protein 4	Catenin beta-1, beta-catenin
Smp_176910.1	Protein translocase subunit SecA	PNRC2, proline-rich nuclear receptor coactivator 2
Smp_176930.1	Cationic amino acid transporter 4	Arginine/agmatine antiporter
Smp_176930.2	Cationic amino acid transporter 4	Probable glutamate/gamma-aminobutyrate antiporter
Smp_176930.3	Cationic amino acid transporter 2	Uncharacterized protein MJ0609
Smp_176940.1	High affinity cationic amino acid transporter 1	Uncharacterized protein MJ0609
Smp_176950.1	Hypothetical protein	Proto-oncogene tyrosine-protein kinase LCK
Smp_176960.1	Centrosomal protein of 152 kDa	Hypothetical protein PH0536
Smp_176960.2	Centrosomal protein of 152 kDa	Hypothetical protein PH0536
Smp_176980.1	Arrestin red cell isoform 1	CONE arrestin
Smp_177010.1	Serine/threonine/tyrosine-interacting-like protein 1	SDP-1, tyrosine-protein phosphatase YIL113W
Smp_177020.1	Inactive phospholipase C-like protein 2	Phospholipase C-beta (PLC-beta)
Smp_177020.2	Inactive phospholipase C-like protein 2	Phospholipase C-beta (PLC-beta)
Smp_177040.1	GPI mannosyltransferase 2	Afaglb-L, transmembrane oligosaccharyl transferase
Smp_177060.1	E3 ubiquitin-protein ligase RNF139	Ring-box protein 2
Smp_177060.2	E3 ubiquitin-protein ligase RNF139	Ring-box protein 2
Smp_177080.1	Alpha-1,3/1,6-mannosyltransferase ALG2	Predicted glycosyltransferases
Smp_177100.1	Uncharacterized protein RP472	Flywch-type zinc finger-containing protein 1
Smp_177120.1	Cell division cycle 7-related protein kinase	Cell division cycle 7-related protein kinase
Smp_177180.1	Protein dead ringer homolog	Cytochrome C oxidase polypeptide 7A1
Smp_177180.2	Hypothetical protein	Zinc finger MYM-type protein 5
Smp_177180.3	UvrABC system protein A	Protein C14ORF4, MY039 protein
Smp_177180.4	Hypothetical protein	Zinc finger MYM-type protein 5
Smp_177290.1	CDK5 regulatory subunit-associated protein 1	Protein TM_1862
Smp_177720.1	Probable G-protein coupled receptor 21	Human adenosine A2A receptor/T4 lysozyme chimera
Smp_177780.1	Proton-coupled folate transporter	Glycerol-3-phosphate transporter
Smp_177790.1	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	NFU1 iron-sulfur cluster scaffold homolog, mitoch
Smp_177790.2	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	NFU1 iron-sulfur cluster scaffold homolog, mitoch
Smp_178170.1	Protein hu-li tai shao	Peptide
Smp_178230.1	Protein FAM184A	Methuselah ectodomain
Smp_178300.1	Hypothetical protein	Tumor necrosis factor receptor associated protein 2
Smp_178360.1	E3 UFM1-protein ligase 1	RPN7, 26S proteasome regulatory subunit RPN7
Smp_178410.1	Hypothetical protein	E3 ubiquitin-protein ligase ARIH1
Smp_178420.1	G-protein coupled receptor GRL101	Muscarinic acetylcholine receptor M2
Smp_178490.1	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter (Fragment)	Insulinoma-associated protein 1
Smp_178490.2	UDP-sugar transporter sqv-7	Insulinoma-associated protein 1
Smp_178700.1	Histone acetyltransferase type B catalytic subunit	Histone acetyltransferase type B catalytic subuni
Smp_178710.1	Centrosomal protein of 104 kDa	Protein STU2
Smp_178710.2	Centrosomal protein of 104 kDa	Protein STU2
Smp_178710.3	Centrosomal protein of 104 kDa	Protein STU2
Smp_178740.1	Protein lin-54 homolog	Histone-lysine N-methyltransferase EZH2
Smp_178740.2	Protein lin-54 homolog	Protein MALE-specific lethal-2
Smp_178750.1	General transcription factor IIE subunit 1	Transcription initiation factor IIE subunit alpha
Smp_178750.2	General transcription factor IIE subunit 1	Transcription initiation factor IIE subunit alpha
Smp_178750.3	General transcription factor IIE subunit 1	Transcription initiation factor IIE, alpha subunit
Smp_178760.1	3-methylorcinaldehyde synthase tropA	HTCF-4
Smp_178780.1	Single-minded homolog 2	BMAL1B
Smp_178810.1	26S proteasome non-ATPase regulatory subunit 13	26S proteasome regulatory subunit RPN9
Smp_178850.1	Poly(A) polymerase gamma	Poly(A) polymerase alpha
Smp_178990.1	Hypothetical protein	Thiamine transporter THIA
Smp_178990.2	Hypothetical protein	Putative ABC transporter, periplasmic binding Pro amino acid
Smp_179000.1	PHD and RING finger domain-containing protein 1	Serine/arginine-rich splicing factor 1
Smp_179010.1	Exosome complex component RRP42	Exosome complex exonuclease RRP42
Smp_179010.2	Exosome complex component RRP42	Exosome complex exonuclease RRP42
Smp_179010.3	Exosome complex component RRP42	Exosome complex exonuclease RRP42
Smp_179070.1	Ribosomal protein S6 kinase beta-2	RAC-alpha serine/threonine-protein kinase
Smp_179070.2	Ribosomal protein S6 kinase beta-2	Protein kinase C-beta II
Smp_179080.1	Yae1 domain-containing protein 1	Lactose regulatory protein LAC9
Smp_179110.1	Purine nucleoside phosphorylase 1	Purine nucleoside phosphorylase
Smp_179110.2	Purine nucleoside phosphorylase	Purine-nucleoside phosphorylase
Smp_179110.3	Purine nucleoside phosphorylase	Purine-nucleoside phosphorylase
Smp_179110.4	Purine nucleoside phosphorylase	Purine nucleoside phosphorylase
Smp_179130.1	Small integral membrane protein 12-A	C5AR(P7-28S) peptide, chemotaxis inhibitory protein
Smp_179180.1	40S ribosomal protein SA	40S ribosomal protein SA (S2P)
Smp_179200.1	Soluble guanylate cyclase 88E	LEE-encoded effector ESPG
Smp_179250.1	Alpha-N-acetylgalactosaminidase	Alpha-galactosidase A
Smp_179270.1	Heterogeneous nuclear ribonucleoprotein H	U4/U6 snRNA-associated splicing factor PRP24
Smp_179290.1	ATPase family AAA domain-containing protein 2	26S protease regulatory subunit 8 homolog
Smp_179290.2	ATPase family AAA domain-containing protein 2B	26S protease regulatory subunit 8 homolog
Smp_179300.1	Replication protein A 70 kDa DNA-binding subunit C	Protein AIR2
Smp_179320.1	argonaute 2-1	Protein argonaute-1
Smp_179320.2	Protein argonaute-2	Protein argonaute-1
Smp_179350.1	Hypothetical protein	Protein DOK-7
Smp_179360.1	Sortilin	Sortilin
Smp_179380.1	Uncharacterized protein C9orf85 homolog	Polycomb group ring finger protein 4
Smp_179390.1	50S ribosomal protein L2	Insulin receptor, IR
Smp_179400.1	Lamin Dm0	Vimentin
Smp_179440.1	Cystatin-8	Non-SMC element 1 homolog
Smp_179460.1	Methionyl-tRNA formyltransferase	VIIIA, cytochrome C oxidase polypeptide VIIC
Smp_179490.1	Bestrophin-1	MFP2B
Smp_179490.2	Bestrophin-1	MFP2B
Smp_179490.3	Bestrophin-1	MFP2B
Smp_179560.1	Multiple inositol polyphosphate phosphatase 1	3-phytase A
Smp_179560.2	Multiple inositol polyphosphate phosphatase 1	3-phytase A
Smp_179560.3	Multiple inositol polyphosphate phosphatase 1	3-phytase A
Smp_179560.4	Multiple inositol polyphosphate phosphatase 1	Phytase
Smp_179580.1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	UPF0165 protein AF_2212
Smp_179590.1	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11	CGMP-specific 3',5'-cyclic phosphodiesterase
Smp_179590.2	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11	CGMP-specific 3',5'-cyclic phosphodiesterase
Smp_179600.1	Endonuclease MutS2	MRNA 3'-END-processing protein RNA14
Smp_179610.1	ADP-ribosylation factor GTPase-activating protein 2	ARF GAP 3, ADP-ribosylation factor GTPase-activating protein 3
Smp_179620.1	Testis-expressed protein 47	Hypothetical protein RSPH03001874
Smp_179650.1	Chromobox protein homolog 5	Chromobox protein homolog 1
Smp_179650.2	Chromobox protein homolog 5	Chromobox protein homolog 1
Smp_179660.1	Prominin-2	Sarcolipin
Smp_179710.1	Serine hydroxymethyltransferase	Serine hydroxymethyltransferase, cytosolic
Smp_179720.1	Oxysterol-binding protein-related protein 9	OSH6 protein, oxysterol-binding protein homolog 6
Smp_179720.2	Oxysterol-binding protein-related protein 9	Pleckstrin homology domain-containing family A ME
Smp_179720.3	Oxysterol-binding protein-related protein 9	OSH6 protein, oxysterol-binding protein homolog 6
Smp_179740.1	Transmembrane protein 8A	GAS6, growth-arrest-specific protein
Smp_179740.2	Transmembrane protein 8A	Epidermal growth factor
Smp_179740.3	Transmembrane protein 8A	GAS6, growth-arrest-specific protein
Smp_179810.1	Troponin T	Troponin T
Smp_179810.2	Troponin T	Troponin T
Smp_179890.1	WD repeat-containing protein 48 homolog	Ring finger and CHY zinc finger domain- containing protein 1
Smp_179910.1	Psmras1	GTPase KRAS, isoform 2B
Smp_179910.2	GTPase HRas	GTPase HRAS
Smp_179930.1	Syntaxin	Syntaxin-1A
Smp_179930.2	Syntaxin	Syntaxin-1A
Smp_179930.3	Syntaxin-1A homolog	Syntaxin-1A
Smp_179930.4	Syntaxin-1B	S-syntaxin
Smp_179940.1	Spindle-defective protein 5	Tropomyosin
Smp_179940.2	Hypothetical protein	Tropomyosin
Smp_179940.3	Structural protein ORF147	Smooth muscle myosin heavy chain
Smp_179950.1	Cathepsin B-like cysteine proteinase	Cathepsin B-like peptidase (C01 family)
Smp_179960.1	Phosphoglucosamine mutase	S3-RNAse
Smp_179970.1	Plexin domain-containing protein 1	Insulin receptor, IR
Smp_180000.1	40S ribosomal protein S9	40S ribosomal protein S9, putative
Smp_180020.1	Centromere protein J	Uncharacterized protein
Smp_180030.1	Rhodopsin	Rhodopsin
Smp_180040.1	Fructose-2,6-bisphosphatase TIGAR	Regulator protein
Smp_180040.2	Fructose-2,6-bisphosphatase TIGAR	ZGC:56074
Smp_180040.3	Fructose-2,6-bisphosphatase TIGAR	Regulator protein
Smp_180060.1	5-demethoxyubiquinone hydroxylase, mitochondrial	Putative bacterioferritin-related protein
Smp_180070.1	Gem-associated protein 5	Fusion protein of protein transport protein SEC13 nucleoporin NUP145
Smp_180070.2	Gem-associated protein 5	U3 small nucleolar RNA-associated protein 21
Smp_180070.3	Gem-associated protein 5	U3 small nucleolar RNA-associated protein 21
Smp_180140.1	Kappa-type opioid receptor	P2Y purinoceptor 12, soluble cytochrome B562
Smp_180150.1	Rho GTPase-activating protein 21	N-chimaerin
Smp_180150.2	Rho GTPase-activating protein 21	N-chimaerin
Smp_180160.1	Rho GTPase-activating protein 27	RHO GTPase activating protein 15
Smp_180160.2	Rho GTPase-activating protein 27	RHO GTPase activating protein 15
Smp_180170.1	Ubiquitin-conjugating enzyme E2 S-B	Ubiquitin-conjugating enzyme E2S
Smp_180180.1	Nucleotide exchange factor SIL1	Protein SLS1, nucleotide exchange factor SIL1
Smp_180190.1	ATP synthase subunit beta	Upper collar protein
Smp_180190.2	ATP synthase subunit beta	Upper collar protein
Smp_180200.1	Terminal uridylyltransferase 4	Poly(A) RNA polymerase protein CID1
Smp_180200.2	Terminal uridylyltransferase 7	Poly(A) RNA polymerase protein CID1
Smp_180200.3	Terminal uridylyltransferase 4	Poly(A) RNA polymerase protein CID1
Smp_180240.1	Spondin-1	Spondin-1
Smp_180260.1	FMRFamide-activated amiloride-sensitive sodium channel	Acid-sensing ION channel
Smp_180310.1	MEG 2 (ESP15) family	ATP phosphoribosyltransferase regulatory subunit
Smp_180320.1	MEG-2 (ESP15) family	ZNF29
Smp_180320.2	MEG-2 (ESP15) family	MU-agatoxin-I, MU-AGA-I
Smp_180330.1	MEG 2 (ESP15) family	E1B-55KDA-associated protein 5 isoform C
Smp_180340.1	MEG 2 (ESP15) family	TUG long isoform
Smp_180350.1	opsin receptor	Rhodopsin
Smp_180350.2	Rhodopsin	Rhodopsin
Smp_180360.1	Hypothetical protein	P8MTCP1
Smp_180370.1	Nucleolar protein 10	Histone acetyltransferase type B subunit 2
Smp_180380.1	Origin recognition complex subunit 1	Cell division control protein 6 homolog
Smp_180390.1	Mitochondrial carrier homolog 2	ADP, ATP carrier protein 2
Smp_180390.2	Mitochondrial carrier homolog 2	ADP, ATP carrier protein 2
Smp_180390.3	Mitochondrial carrier homolog 2	ADP, ATP carrier protein 2
Smp_180400.1	Casein kinase I isoform gamma-1	Casein kinase I isoform gamma-3
Smp_180430.1	EF-hand calcium-binding domain-containing protein 2	Centrin-2
Smp_180430.2	EF-hand calcium-binding domain-containing protein 2	Optimized ratiometric calcium sensor
Smp_180470.1	Cytoplasmic dynein 1 intermediate chain 2	SIR4-interacting protein SIF2
Smp_180470.2	Cytoplasmic dynein 1 intermediate chain 2	SIR4-interacting protein SIF2
Smp_180470.3	Cytoplasmic dynein 1 intermediate chain 2	SIR4-interacting protein SIF2
Smp_180480.1	ELL-associated factor 1	Lipovitellin (LV-2)
Smp_180500.1	Phospholipid scramblase 3	AT5G01750 protein
Smp_180500.2	Phospholipid scramblase 3	AT5G01750 protein
Smp_180500.3	Phospholipid scramblase 3	AT5G01750 protein
Smp_180500.4	Phospholipid scramblase 3	AT5G01750 protein
Smp_180520.1	Myotubularin-related protein 6	Myotubularin-related protein 6
Smp_180520.2	Myotubularin-related protein 6	Myotubularin-related protein 6
Smp_180520.3	Myotubularin-related protein 6	Myotubularin-related protein 6
Smp_180540.1	UPF0687 protein C20orf27 homolog	Alpha-2-M, alpha-2-macroglobulin
Smp_180570.1	nicotinic acetylcholine receptor	Acetylcholine receptor protein, alpha chain
Smp_180580.1	Trichoplein keratin filament-binding protein	Troponin T
Smp_180590.1	Axonemal dynein light chain domain-containing protein 1	Axin
Smp_180620.1	Zinc-finger homeodomain protein 1	D-xylose-proton symporter
Smp_180660.1	Pseudouridylate synthase 7 homolog-like protein	HIN recombinase, DNA-invertase HIN
Smp_180680.1	Armadillo repeat-containing protein 2	APC variant protein
Smp_180690.1	Hypothetical protein	Teashirt homolog 3
Smp_180740.1	Zinc finger FYVE domain-containing protein 1	LM5-1
Smp_180780.1	Endoglycoceramidase	Endoglycoceramidase II
Smp_180780.2	Endoglycoceramidase	Endoglycoceramidase II
Smp_180780.3	Endoglycoceramidase	Endoglycoceramidase II
Smp_180790.1	Hypothetical protein	Solute carrier family 2, facilitated glucose TRAN member 1
Smp_180790.2	Hypothetical protein	Solute carrier family 2, facilitated glucose TRAN member 1
Smp_180800.1	Protein LLP homolog	NEQ011
Smp_180810.1	Papilin	SMCI inhibitor, carboxypeptidase inhibitor SMCI
Smp_180890.1	Rho GTPase-activating protein gacH	Rhogap protein
Smp_180900.1	Germinal-center associated nuclear protein	Nuclear mRNA export protein SAC3
Smp_180900.2	Germinal-center associated nuclear protein	Nuclear mRNA export protein SAC3
Smp_180900.3	Zinc finger CCCH domain-containing protein 41	PRE-mRNA-splicing factor RBM22
Smp_180910.1	Pumilio homolog 2	Pumilio 2, pumilio homolog 2
Smp_180910.2	Pumilio homolog 2	Pumilio 2, pumilio homolog 2
Smp_181000.1	Ubiquitin thioesterase OTU1	OTU1, ubiquitin thioesterase OTU1
Smp_181000.2	Ubiquitin thioesterase OTU1	OTU1, ubiquitin thioesterase OTU1
Smp_181000.3	Ubiquitin thioesterase OTU1	OTU1, ubiquitin thioesterase OTU1
Smp_181040.1	KIF1-binding protein homolog	Tubulin-folding protein TBCE
Smp_181050.1	Ribosome-binding protein 1	Smooth muscle myosin heavy chain
Smp_181060.1	Prosaposin	Proactivator polypeptide
Smp_181070.1	Probable NAD(P)H-dependent D-xylose reductase xyl1	Proactivator polypeptide
Smp_181080.1	Shb-like protein	VAV-2, guanine nucleotide exchange factor VAV2
Smp_181080.2	SH2 domain-containing adapter protein F	VAV-2, guanine nucleotide exchange factor VAV2
Smp_181090.1	tRNA methyltransferase 10 homolog B	RNA (guanine-9-)-methyltransferase domain-contain protein 2
Smp_181090.2	tRNA methyltransferase 10 homolog B	RNA (guanine-9-)-methyltransferase domain-contain protein 2
Smp_181120.1	Amyloid protein-binding protein 2	KLC 1, kinesin light chain 1
Smp_181120.2	Amyloid protein-binding protein 2	KLC 1, kinesin light chain 1
Smp_181120.3	Putative sigma L-dependent transcriptional regulator YqiR	4-hydroxyphenylpyruvate dioxygenase
Smp_181130.1	Uncharacterized protein C6orf136 homolog	ARF GTPase-activating protein GIT1
Smp_181150.1	ATP-binding cassette sub-family G member 1	ABC transporter, lipoprotein-releasing system ATP-binding protein
Smp_181150.2	ATP-binding cassette sub-family G member 1	ABC transporter, lipoprotein-releasing system ATP-binding protein
Smp_181150.3	ATP-binding cassette sub-family G member 1	Haloalkane dehalogenase
Smp_181160.1	Tubulin polyglutamylase TTLL4	Tubulin tyrosine ligase, TTL
Smp_181160.2	Tubulin polyglutamylase TTLL4	Tubulin tyrosine ligase, TTL
Smp_181170.1	CTD small phosphatase-like protein	RNA polymerase II subunit A C-terminal domain PHO
Smp_181180.1	MYCBP-associated protein	Hydin protein
Smp_181180.2	MYCBP-associated protein	Hydin protein
Smp_181230.1	Probable phospholipid-transporting ATPase VA	Sarcoplasmic/endoplasmic reticulum calcium ATPase
Smp_181240.1	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase
Smp_181250.1	Hemicentin-1	Titin
Smp_181270.1	Protein couch potato	Arginine/serine-rich splicing factor 10
Smp_181270.2	Protein couch potato	RNA-binding protein 12
Smp_181270.3	RNA-binding protein with multiple splicing 2	Cold-inducible RNA-binding protein
Smp_181290.1	39S ribosomal protein L28, mitochondrial	MRPL28
Smp_181390.1	Protein CREBRF homolog	Protein (GCN4)
Smp_181410.1	Protein-arginine kinase activator protein	Pheromone ER-10
Smp_181440.1	Protein tyrosine phosphatase domain-containing protein 1	Protein tyrosine phosphatase-like protein
Smp_181440.2	Protein tyrosine phosphatase domain-containing protein 1	Protein tyrosine phosphatase-like protein
Smp_181440.3	Protein tyrosine phosphatase domain-containing protein 1	Ssoptp, sulfolobus solfataricus protein tyrosine phosphatase
Smp_181440.4	Protein tyrosine phosphatase domain-containing protein 1	Ssoptp, sulfolobus solfataricus protein tyrosine phosphatase
Smp_181440.5	Protein tyrosine phosphatase domain-containing protein 1	Ssoptp, sulfolobus solfataricus protein tyrosine phosphatase
Smp_181450.1	Centrosome and spindle pole associated protein 1	Colicin E3
Smp_181460.1	Ubiquitin carboxyl-terminal hydrolase MINDY-3	DJBP, CAP-binding protein complex interacting protein 1 isoform A
Smp_181470.1	Protein lifeguard 1	Uncharacterized protein YETJ
Smp_181480.1	Probable tRNA (uracil-O(2)-)-methyltransferase	Tellurite resistance protein TEHB
Smp_181490.1	Death-associated protein kinase 2	Death-associated protein kinase 2
Smp_181490.2	Death-associated protein kinase 2	Death-associated protein kinase 2
Smp_181720.1	Quinolinate synthase A	COFJ
Smp_181730.1	Probable acetolactate synthase small subunit	Transcription antitermination protein NUSG
Smp_181870.1	DNA helicase MCM8	Minichromosome maintenance protein MCM
Smp_182090.1	Vacuolar fusion protein mon1	Staphostatin B, cysteine protease inhibitor
Smp_182600.1	Ribosomal large subunit pseudouridine synthase A	Thymidine kinase
Smp_182620.1	Carboxypeptidase N catalytic chain	Carboxypeptidase N catalytic chain
Smp_182890.1	F-box protein At4g22390	Protein VIRB8
Smp_183080.1	KiSS-1 receptor	Fibrillin
Smp_183710.1	Actin-1	Actin-like protein ARP8
Smp_183870.1	TOM1-like protein 1	SKA1, spindle and kinetochore-associated protein 1
Smp_184350.1	Conserved oligomeric Golgi complex subunit 4	Catenin alpha-1
Smp_184350.2	Conserved oligomeric Golgi complex subunit 4	Catenin alpha-1
Smp_184350.3	Conserved oligomeric Golgi complex subunit 4	COG4
Smp_185180.1	hypothetical protein	Protein pygopus
Smp_185420.1	Queuine tRNA-ribosyltransferase	RAB11B, member RAS oncogene family
Smp_185460.1	Zinc finger protein 646	NS4B, P27, non-structural protein 4B
Smp_185560.1	Probable linoleate 9S-lipoxygenase 5	ATP:cobalamin adenosyltransferase
Smp_185680.1	Major egg antigen	TSP36, small heat shock protein
Smp_185870.1	Vacuolar protein sorting-associated protein 13B	Arabinose operon regulatory protein
Smp_185930.1	UPF0178 protein PSHAb0045	Dual specificity protein kinase TTK
Smp_186560.1	39S ribosomal protein L18, mitochondrial	MRPL18
Smp_186670.1	CAD protein	Carbamoyl phosphate synthetase (large chain)
Smp_186710.1	Alpha-galactosidase A	Alpha-galactosidase A
Smp_186920.1	Meiotic sister-chromatid recombination protein 6, mitochondrial	Ferrochelatase
Smp_186930.1	Homeobox protein Nkx-2.2a	Protein (engrailed homeodomain Q50K)
Smp_187090.1	Neuroglobin	Hemoglobin subunit beta-1/2
Smp_187140.1	Cathepsin L-like proteinase	Procathepsin L1, secreted cathepsin L 1
Smp_187190.1	Innexin unc-9	Hydrolase, HD family
Smp_187360.1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3	Beta-1,6-N-acetylglucosaminyltransferase
Smp_187410.1	Endoglycoceramidase	Endoglycoceramidase II
Smp_187800.1	UDP-N-acetylmuramoylalanine--D-glutamate ligase	Putative uncharacterized protein TB39.8
Smp_187800.2	UDP-N-acetylmuramoylalanine--D-glutamate ligase	Putative uncharacterized protein TB39.8
Smp_187940.1	Sphingosine kinase 1	SK 1, SPK 1, sphingosine kinase 1
Smp_187940.2	Formamidopyrimidine-DNA glycosylase	SK 1, SPK 1, sphingosine kinase 1
Smp_187950.1	Bile salt export pump	Hypothetical protein TM1457
Smp_188200.1	Natterin-3	Friend leukemia integration 1 transcription factor
Smp_188430.1	Glutathione synthetase	Glutathione synthetase
Smp_188430.2	Glutathione synthetase	Glutathione synthetase
